task,model,threshold,value,unit,hours,difficulty
blunders_easy,gpt-5.2:medium,25%,3,hours,3,very_hard
blunders_easy,gpt-5.2:medium,50%,10,hours,10,very_hard
blunders_easy,gpt-5.2:medium,70%,5,days,40,very_hard
blunders_easy,gpt-5.2:medium,90%,4,weeks,160,very_hard
blunders_easy,gpt-5.2:medium,95%,12,weeks,480,very_hard
blunders_easy,gemini-3-pro-preview,25%,3,hours,3,medium
blunders_easy,gemini-3-pro-preview,50%,8,hours,8,medium
blunders_easy,gemini-3-pro-preview,70%,16,hours,16,medium
blunders_easy,gemini-3-pro-preview,90%,40,hours,40,medium
blunders_easy,gemini-3-pro-preview,95%,80,hours,80,medium
blunders_easy,claude-opus-4.5,25%,2,hours,2,hard
blunders_easy,claude-opus-4.5,50%,6,hours,6,hard
blunders_easy,claude-opus-4.5,70%,12,hours,12,hard
blunders_easy,claude-opus-4.5,90%,25,hours,25,hard
blunders_easy,claude-opus-4.5,95%,50,hours,50,hard
blunders_easy,grok-4-07-09,25%,4,hours,4,very_hard
blunders_easy,grok-4-07-09,50%,12,hours,12,very_hard
blunders_easy,grok-4-07-09,70%,40,hours,40,very_hard
blunders_easy,grok-4-07-09,90%,120,hours,120,very_hard
blunders_easy,grok-4-07-09,95%,200,hours,200,very_hard
blunders_hard,gpt-5.2:medium,25%,6,hours,6,very_hard
blunders_hard,gpt-5.2:medium,50%,3,days,24,very_hard
blunders_hard,gpt-5.2:medium,70%,10,days,80,very_hard
blunders_hard,gpt-5.2:medium,90%,6,weeks,240,very_hard
blunders_hard,gpt-5.2:medium,95%,12,weeks,480,very_hard
blunders_hard,gemini-3-pro-preview,25%,1,hour,1,Hard
blunders_hard,gemini-3-pro-preview,50%,4,hours,4,Hard
blunders_hard,gemini-3-pro-preview,70%,12,hours,12,Hard
blunders_hard,gemini-3-pro-preview,90%,24,hours,24,Hard
blunders_hard,gemini-3-pro-preview,95%,40,hours,40,Hard
blunders_hard,claude-opus-4.5,25%,2,hours,2,hard
blunders_hard,claude-opus-4.5,50%,6,hours,6,hard
blunders_hard,claude-opus-4.5,70%,16,hours,16,hard
blunders_hard,claude-opus-4.5,90%,4,days,32,hard
blunders_hard,claude-opus-4.5,95%,6,days,48,hard
blunders_hard,grok-4-07-09,25%,6,hours,6,very_hard
blunders_hard,grok-4-07-09,50%,2,days,16,very_hard
blunders_hard,grok-4-07-09,70%,1,week,40,very_hard
blunders_hard,grok-4-07-09,90%,3,weeks,120,very_hard
blunders_hard,grok-4-07-09,95%,2,months,320,very_hard
chess_winners,gpt-5.2:medium,25%,30,minutes,0.5,very_hard
chess_winners,gpt-5.2:medium,50%,4,hours,4,very_hard
chess_winners,gpt-5.2:medium,70%,2,days,16,very_hard
chess_winners,gpt-5.2:medium,90%,3,weeks,120,very_hard
chess_winners,gpt-5.2:medium,95%,12,months,1920,very_hard
chess_winners,gemini-3-pro-preview,25%,30,minutes,0.5,hard
chess_winners,gemini-3-pro-preview,50%,2,hours,2,hard
chess_winners,gemini-3-pro-preview,70%,8,hours,8,hard
chess_winners,gemini-3-pro-preview,90%,32,hours,32,hard
chess_winners,gemini-3-pro-preview,95%,120,hours,120,hard
chess_winners,claude-opus-4.5,25%,30,minutes,0.5,hard
chess_winners,claude-opus-4.5,50%,3,hours,3,hard
chess_winners,claude-opus-4.5,70%,8,hours,8,hard
chess_winners,claude-opus-4.5,90%,40,hours,40,hard
chess_winners,claude-opus-4.5,95%,200,hours,200,hard
chess_winners,grok-4-07-09,25%,2,hours,2,hard
chess_winners,grok-4-07-09,50%,8,hours,8,hard
chess_winners,grok-4-07-09,70%,2,days,16,hard
chess_winners,grok-4-07-09,90%,3,weeks,120,hard
chess_winners,grok-4-07-09,95%,2,months,320,hard
classify_sentences,gpt-5.2:medium,25%,4,hours,4,very_hard
classify_sentences,gpt-5.2:medium,50%,2,days,16,very_hard
classify_sentences,gpt-5.2:medium,70%,2,weeks,80,very_hard
classify_sentences,gpt-5.2:medium,90%,3,months,480,very_hard
classify_sentences,gpt-5.2:medium,95%,1,year,2080,very_hard
classify_sentences,gemini-3-pro-preview,25%,1,hour,1,very_hard
classify_sentences,gemini-3-pro-preview,50%,6,hours,6,very_hard
classify_sentences,gemini-3-pro-preview,70%,3,days,24,very_hard
classify_sentences,gemini-3-pro-preview,90%,3,weeks,120,very_hard
classify_sentences,gemini-3-pro-preview,95%,1000,hours,1000,very_hard
classify_sentences,claude-opus-4.5,25%,45,minutes,0.75,hard
classify_sentences,claude-opus-4.5,50%,2.5,hours,2.5,hard
classify_sentences,claude-opus-4.5,70%,6,hours,6,hard
classify_sentences,claude-opus-4.5,90%,25,hours,25,hard
classify_sentences,claude-opus-4.5,95%,50,hours,50,hard
classify_sentences,grok-4-07-09,25%,4,hours,4,hard
classify_sentences,grok-4-07-09,50%,2,days,16,hard
classify_sentences,grok-4-07-09,70%,2,weeks,80,hard
classify_sentences,grok-4-07-09,90%,3,months,480,hard
classify_sentences,grok-4-07-09,95%,6,months,960,hard
classify_shuffled,gpt-5.2:medium,25%,2,hours,2,hard
classify_shuffled,gpt-5.2:medium,50%,10,hours,10,hard
classify_shuffled,gpt-5.2:medium,70%,3,days,24,hard
classify_shuffled,gpt-5.2:medium,90%,6,weeks,240,hard
classify_shuffled,gpt-5.2:medium,95%,6,months,960,hard
classify_shuffled,gemini-3-pro-preview,25%,2,hours,2,Hard
classify_shuffled,gemini-3-pro-preview,50%,6,hours,6,Hard
classify_shuffled,gemini-3-pro-preview,70%,16,hours,16,Hard
classify_shuffled,gemini-3-pro-preview,90%,80,hours,80,Hard
classify_shuffled,gemini-3-pro-preview,95%,1000,hours (effectively impossible),1000,Hard
classify_shuffled,claude-opus-4.5,25%,45,minutes,0.75,medium
classify_shuffled,claude-opus-4.5,50%,2,hours,2,medium
classify_shuffled,claude-opus-4.5,70%,4,hours,4,medium
classify_shuffled,claude-opus-4.5,90%,12,hours,12,medium
classify_shuffled,claude-opus-4.5,95%,40,hours,40,medium
classify_shuffled,grok-4-07-09,25%,4,hours,4,hard
classify_shuffled,grok-4-07-09,50%,2,days,16,hard
classify_shuffled,grok-4-07-09,70%,5,days,40,hard
classify_shuffled,grok-4-07-09,90%,10,days,80,hard
classify_shuffled,grok-4-07-09,95%,30,days,240,hard
digits_generalize,gpt-5.2:medium,25%,4,hours,4,very_hard
